AOD,PM2.5,ug/m3
0.079639999,26.33333333,
0.05884,15.33333333,
0.101440002,25.66666667,
0.109347824,14,
0.08468,9,
0.071279999,10,
0.136119995,13,
0.101454544,29.66666667,
0.172733337,20,
0.228559998,18.33333333,
0.095160004,5.666666667,
0.162639999,46.66666667,
0.098360001,6.333333333,
0.317119995,34,
0.1025,39.53333333,
0.100761902,12.93333333,
0.095720001,10.23333333,
0.072080002,37.53333333,
0.195160004,23.36666667,
0.157320007,21.4,
0.134600006,12.06666667,
0.061119999,8.066666667,
0.071400002,5.7,
0.094360001,20.4,
0.077199997,36.26666667,
0.079160004,23.93333333,
0.058279999,9.7,
0.048720001,11.66666667,
0.099480003,15.63333333,
0.074879997,11.9,
0.058959999,5.866666667,
0.083440002,19.83333333,
0.127559998,57.5,
0.36876001,77.13333333,
0.054279999,7.266666667,
0.290440002,78.26666667,
0.037959999,6,
0.12132,39.13333333,
0.115279999,69.3,
0.237320007,17.46666667,
0.064599998,4.666666667,
0.065760002,18.2,
0.253199997,47.7,
0.087879997,20.33333333,
0.073959999,4.633333333,
0.08025,15.66666667,
0.093599998,10.3,
0.269,66.6,
0.090400002,26.3,
0.244,48.53333333,
0.171679993,39.66666667,
0.151759995,27.33333333,
0.216199997,110.6666667,
0.11432,16.66666667,
0.233080002,31.33333333,
0.124639999,14.66666667,
0.306720001,97.33333333,
0.165080002,49.66666667,
0.864882324,88.33333333,
0.226559998,36.66666667,
0.149080002,9,
0.162479996,19.66666667,
0.36476001,95.33333333,
0.780400024,29,
0.968039978,124,
0.311799988,19,
1.59047998,91,
0.404359985,72,
0.237119995,25,
0.164240005,9.333333333,
0.153277771,35,
0.702840027,126.6666667,
0.067959999,10,
0.2035,19.33333333,
0.88676001,124.6666667,
2.08623999,70,
0.126839996,16,
0.148399994,13,
0.106120003,7.666666667,
0.287880005,20,
0.337160004,23.66666667,
0.686119995,185,
0.157759995,9,
0.263440002,59.33333333,
0.077199997,6,
0.325600006,168.6666667,
0.882159973,130.3333333,
0.156368423,39.53333333,
0.691039978,68.56666667,
1.610719971,123.0666667,
0.072279999,20,
0.907919983,96.16666667,
0.087760002,57.46666667,
0.058684212,9.533333333,
0.184919998,22.4,
0.117,88.93333333,
0.140639999,17.83333333,
1.230199951,114,
0.178360001,7.766666667,
0.06068,9.333333333,
0.094040001,13.53333333,
1.187,79.9,
0.068199997,25.73333333,
0.4025,153.8666667,
0.518666687,160.8333333,
0.18225,26.53333333,
0.458720001,65.7,
0.177679993,39.66666667,
0.152,31.03333333,
0.05763158,4.233333333,
0.066919998,14.43333333,
0.246541672,28.46666667,
0.064599998,4.2,
0.704559998,116.9333333,
0.060919998,3,
0.198639999,8.766666667,
