AOD,PM2.5,ug/m3
0.058439999,11.03333333,
0.233520004,28.13333333,
0.05384,5.433333333,
0.063,17.66666667,
0.069559998,8.533333333,
0.162479996,25.7,
0.115199997,41.73333333,
0.060400002,14.43333333,
0.090800003,8.2,
0.096639999,10.3,
0.318640015,81.66666667,
0.052439999,8.5,
0.136960007,41.53333333,
0.138800003,82.33333333,
0.203360001,98.13333333,
0.092279999,6.533333333,
0.369799988,38.63333333,
0.070599998,9.433333333,
0.041720001,11.5,
0.255360001,69.1,
0.064480003,7.2,
0.074800003,5.033333333,
0.289200012,83,
0.094959999,23.66666667,
0.059880001,8.866666667,
0.062599998,13.16666667,
0.288679993,75.93333333,
0.127760002,164.7333333,
0.214440002,83.46666667,
0.432200012,26.76666667,
0.038759998,5.8,
0.069440002,6.933333333,
0.114720001,29.1,
0.060299999,9.6,
0.101181816,22.9,
0.337519989,105.6666667,
0.130600006,17.33333333,
1.462478271,149,
0.159199997,42.66666667,
0.052400002,10.33333333,
0.111879997,11.66666667,
0.268720001,86.33333333,
0.494279999,108,
0.151479996,7.666666667,
0.311,105.3333333,
0.649080017,131.6666667,
0.671818176,56,
0.167679993,17.33333333,
0.233307693,15,
1.78152002,82.66666667,
0.163,15,
0.147520004,14.66666667,
0.599559998,126.6666667,
0.141720001,7,
0.178479996,20,
0.172240005,11.66666667,
0.973150024,167.6666667,
0.906799988,145,
1.479839966,78,
0.263200012,15.33333333,
0.104120003,17,
0.299559998,95.33333333,
0.480839996,44.33333333,
0.186880005,8.333333333,
0.181160004,17.33333333,
0.195360001,52,
0.567333313,129.3333333,
1.414920044,244.3333333,
0.70323999,81.66666667,
0.320720001,19.33333333,
0.147880005,20,
0.628944458,155,
0.157160004,7.666666667,
0.289320007,34.66666667,
0.172880005,6.333333333,
0.36676001,34.33333333,
0.686440002,96.43333333,
0.236720001,17.6,
0.269959991,37.76666667,
0.094279999,22.6,
0.689559998,49.8,
0.925559998,75.93333333,
0.745,166.7333333,
0.120559998,22.06666667,
0.954400024,110.6333333,
0.094720001,14.96666667,
0.760869568,110.5,
0.492679993,22.26666667,
0.168880005,35.83333333,
0.06604348,3,
0.150399994,5.333333333,
0.857761902,137.2,
0.98276001,157.3666667,
0.14007692,39.43333333,
0.057560001,8.833333333,
0.643159973,36.63333333,
0.06284,5.4,
0.060400002,39.63333333,
0.07,3,
0.475333344,36.5,
0.29523999,66.8,
0.201360001,8.133333333,
0.082120003,3,
0.183559998,23.26666667,
0.138960007,14.7,
2.987159912,291.0333333,
0.208679993,35.16666667,
0.062759998,7.233333333,
0.148880005,17.73333333,
0.238839996,90.36666667,
0.055400002,3,
0.424600006,20.93333333,
0.052720001,4.7,
0.089279999,7.233333333,
0.672960022,110.4333333,
0.120279999,4.633333333,
0.090080002,3,
0.427440002,61.66666667,
